,Unnamed: 0,City,State,Average2018,Average2019,Average2020,2018-2019 changing rate,2019-2020 changing rate
0,149,Salt Lake City,UT,372028.33333333326,403676.58333333326,426918.22222222225,7.840001453308642,5.444049393794919
1,92,Hialeah,FL,274104.08333333326,287202.83333333326,295955.0,4.560801106302921,2.9572626469114174
2,89,Jersey City,NJ,509275.25,515026.75,529459.3333333335,1.1167381111757788,2.725909701594968
3,105,Irvine,CA,894327.5,895065.6666666665,903923.0,0.0824706716117992,0.9798769732967711
4,207,Alexandria,VA,502257.58333333326,523444.25,552416.8888888889,4.04754979478076,5.244705488125713
5,247,Bellevue,WA,924025.8333333335,900209.75,953660.0,-2.6456149062297283,5.6047490719963085
6,110,Garland,TX,193970.3333333333,206703.66666666663,211902.5555555556,6.160187450311307,2.453433784816194
7,139,Glendale,CA,820642.9166666665,832062.6666666665,873757.2222222221,1.3724627311724915,4.771869633250535
8,185,Clarksville,TN,178903.66666666663,187340.0,200576.66666666663,4.503220525959937,6.599305336280388
9,55,Tampa,FL,231498.66666666663,243883.25,258432.66666666663,5.078078684507174,5.6298674832129025
10,39,Miami,FL,346168.91666666674,353490.5,359586.11111111107,2.0712249221219,1.6951742358112372
11,9,Dallas,TX,212800.0,228435.58333333328,233661.8888888889,6.844635632145754,2.236695757450095
12,125,Des Moines,IA,140984.16666666663,148062.66666666663,152323.55555555553,4.7807459904364835,2.797261968674878
13,271,Waco,TX,131066.41666666669,139240.66666666663,147928.55555555553,5.870590967198269,5.873030299160942
14,24,Seattle,WA,741243.6666666665,714093.3333333335,743001.3333333335,-3.8020706910394417,3.8907063423843113
15,26,Boston,MA,622783.8333333335,637492.75,646752.4444444445,2.307307285716838,1.43172159981529
16,117,Irving,TX,226077.75,241110.41666666663,249342.1111111111,6.234764501049826,3.3013655045121046
17,161,Salem,OR,272965.08333333326,291647.16666666674,302070.55555555556,6.405713982020526,3.4506471078316827
18,148,Eugene,OR,304029.33333333326,321903.75,344103.66666666674,5.5527208572956015,6.451519939243121
19,95,Saint Petersburg,FL,186557.75,200305.5833333333,214795.11111111112,6.863429917704911,6.745743747529947
