,City,State,2018 Population,2019 Population,2020 Population,2018-2019 Population Rate,2019-2020 Population Rate
153,Frisco ,TX,188452,200490,215060,6.38783350667544,7.267195371340216
162,McKinney ,TX,191748,199177,208487,3.8743559254855326,4.674234474864066
143,Murfreesboro ,TN,141442,146900,151066,3.85882552565716,2.835942818243703
71,Port St. Lucie ,FL,194808,201846,206410,3.6127879758531476,2.2611297722025703
107,Henderson ,NV,309518,320189,330084,3.447618555302115,3.0903622547932628
10,Surprise ,AZ,137717,141664,142049,2.8660223501818947,0.2717698215495821
163,Midland ,TX,142173,146038,145012,2.718518987430806,-0.7025568687601856
109,North Las Vegas ,NV,245349,251974,253923,2.70023517519941,0.773492503194774
62,Cape Coral ,FL,189468,194495,199503,2.6532184854434524,2.574873390061441
35,Ontario ,CA,180718,185010,186653,2.374970949213692,0.8880601048591967
150,Denton ,TX,138315,141541,142173,2.332357300365109,0.4465137310037374
110,Reno ,NV,250146,255601,260258,2.1807264557498423,1.8219803521895455
7,Peoria ,AZ,172263,175961,180219,2.146717519142242,2.4198543995544464
11,Tempe ,AZ,191746,195805,194218,2.1168629332554527,-0.8105002425882893
27,Irvine ,CA,281732,287401,303956,2.012195987676231,5.760244397201123
158,Killeen ,TX,148683,151666,153973,2.006281821055534,1.5211055872773067
32,Moreno Valley ,CA,208889,213055,212992,1.9943606412975312,-0.029569829386778063
6,Mesa ,AZ,507945,518012,527666,1.981907489984152,1.8636633900372963
138,Sioux Falls ,SD,180398,183793,190519,1.881949910752891,3.65955177835935
41,Roseville ,CA,138953,141500,143921,1.8329938900203666,1.7109540636042402
152,Fort Worth ,TX,893216,909585,932116,1.832591444846487,2.4770637158704245
